2026-08-28 23:00:20,159 | INFO | main | Selected window: Subnautica Below Zero (HWND 721580), client area 1280x720 at 320,194
2026-08-28 23:00:20,166 | INFO | capture_manager | WGC support: available (Native Windows.Graphics.Capture and D3D11 APIs are present.)
2026-08-28 23:00:20,213 | INFO | wgc_capture | WGC initialized for HWND 721580 at 1282x759
2026-08-28 23:00:20,235 | INFO | wgc_capture | WGC acquired first frame at 1282x759
2026-08-28 23:00:20,235 | INFO | capture_manager | Selected capture backend: Windows Graphics Capture
2026-08-28 23:00:20,235 | INFO | main | Active capture backend: WGC
2026-08-28 23:00:20,289 | INFO | main | Available processing backends: OpenCV CPU, PyTorch CUDA
2026-08-28 23:00:20,290 | INFO | main | Loaded processing backend from runtime profile: OpenCV CPU
2026-08-28 23:00:20,290 | INFO | main | Active processing backend: OpenCV CPU
2026-08-28 23:00:20,291 | INFO | main | Loaded runtime profile from C:\Users\ruthr\Documents\Codex\2026-08-28\welcome-bnr-i-m-claude-bring\outputs\URFTS-Fixed\configs\runtime_profile.json
2026-08-28 23:00:20,291 | INFO | main | Active OpenCV threads: 8
2026-08-28 23:00:20,292 | INFO | main | Press Q to quit the preview.
2026-08-28 23:00:20,292 | INFO | main | ==================================================
2026-08-28 23:00:20,292 | INFO | main | Active frame processor: OpenCV CPU
2026-08-28 23:00:20,920 | INFO | main | Active frame generation: RIFE (DmlExecutionProvider, CPUExecutionProvider)
2026-08-28 23:00:20,932 | INFO | wgc_capture | WGC capture closed for HWND 721580
2026-08-28 23:00:25,945 | INFO | capture_manager | WGC support: available (Native Windows.Graphics.Capture and D3D11 APIs are present.)
2026-08-28 23:00:25,998 | INFO | wgc_capture | WGC initialized for HWND 721580 at 1282x759
2026-08-28 23:00:26,017 | INFO | wgc_capture | WGC acquired first frame at 1282x759
2026-08-28 23:00:26,018 | INFO | capture_manager | Selected capture backend: Windows Graphics Capture
2026-08-28 23:00:31,831 | INFO | main | Performance (last 1 frames): average FPS 0.00, median frame 96.34 ms, p95 frame 96.34 ms, dropped frames 129, pacing error 0.00 ms, scheduled 2251.911364, actual 2251.911369, late 0, generated-late drops 56, real-late drops 56, source 9.97 FPS, presentation 0.00 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 23:00:31,960 | INFO | main | Game preview enabled: Alt-Tab hides output; Ctrl+Alt+Q stops.
2026-08-28 23:00:56,066 | INFO | main | Performance (last 2 frames): average FPS 0.04, median frame 95.89 ms, p95 frame 96.34 ms, dropped frames 884, pacing error 24219.16 ms, scheduled 2251.928031, actual 2276.147193, late 1, generated-late drops 280, real-late drops 279, source 8.99 FPS, presentation 0.04 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
